REFLEX	ETYMA	LEMMA	POS [OLD]	INFLECTION CLASS [OLD]	BASE TAGS [OLD]	REFLEX INFLECTED	ETYMA INFLECTED	INFLECTED TAGS [OLD]	FL2 [[OLD]]	IRREGULARITIES	CUT	ADDED	NOTES	SOURCE [NOTES]
fertum	['ferktom']	FERTUM	Noun	2	Nm-N-S	ferti:	['ferkti:']	Gn-N-S	G2					
fertus	['fertos']										TRUE		This is a very late form—it appears earlier, but s.v.l. and is usually emended to effertus.	
ferus	['χweros']	FERUS	Adjective	2	Nm-M-S-Ps	feri:	['χweri:']	Gn-M-S-Ps	G2				Possibly this should be reconstructed with -e:- (the IE is *ghweh1, and a long vowel could have been shortened by Dybo's Law).	
fervo:	['ferwo:']	FERVO	Verb	3	1-S-Pr-Act-Ind	fervit	['ferweti:']	3-S-Pr-Act-Ind	V3			TRUE	Ferveo: has a third conjugation by-form, probably the original, and thus reconstructed here.	
ferveo:	['ferwejo:']	FERVEO	Verb	2	1-S-Pr-Act-Ind	fervet	['ferwejeti']	3-S-Pr-Act-Ind	V3					
fe:cundus	['fe:kodnos']	FECUNDUS	Adjective	2	Nm-M-S-Ps	fe:cundi:	['fe:kodni:']	Gn-M-S-Ps	G2			TRUE		
fe:li:x	['fe:lwiks']	FELIX	Adjective	3	Nm-M/F/N-S-Ps	fe:li:cis	['fe:lwikes']	Gn-M/F/N-S-Ps	G3				*-lwi- to *-li- is now assumed to be a regular change.	
fe:mina	['fe:mana:']	FEMINA	Noun	1	Nm-F-S	fe:minae	['fe:mana:i:']	Gn-F-S	G1					
fe:num	['fe:nom']	FENUM	Noun	2	Nm-N-S	fe:ni:	['fe:ni:']	Gn-N-S	G2			TRUE		
fe:ra:lis	['fe:za:lis']	FERALIS	Adjective	3	Nm-M/F-S-Ps	fe:ra:lis	['fe:za:les']	Gn-M/F-S-Ps	G3					
fe:ria	['fe:zja:']	FERIA	Noun	1	Nm-F-S	fe:riae	['fe:zja:i:']	Gn-F-S	G1				It's true that -as is the original nominative plural; -ai > -ae is an analogical form. Here, instead of using fe:riae, we reconstruct the (unattested but underlying) singular fe:ria.	
fe:stus	['fe:stos']	FESTUS	Adjective	2	Nm-M-S-Ps	fe:sti:	['fe:sti:']	Gn-M-S-Ps						
fiber	['fefros']	FIBER	Noun	2	Nm-M-S	fibri:	['fefri:']	Gn-F-S	G2	PHONOLOGY		TRUE	[Phonology] Other cognates point to *-e-, not *-i-. The Latin vowel was raised for some unknown reason (or maybe altered by analogy from other reduplications with -i-).	
findo:	['findo:']	FINDO	Verb	3	1-S-Pr-Act-Ind	findit	['findeti']	3-S-Pr-Act-Ind	G2					
fiŋgo:	['fingo:']	FINGO	Verb	3	1-S-Pr-Act-Ind	fiŋgit	['fingeti']	3-S-Pr-Act-Ind	V3					
firmus	['fermos']	FIRMUS	Adjective	2	Nm-M-S-Ps	firmi:	['fermi:']	Gn-M-S-Ps	V3	PHONOLOGY			[Phonology] Watkins 1973: 196 argued -e- was raised after a labial.	watkinsEtymaEnniana1973
fissus	['fidtos']	FINDO	Participle	2	Pf-Psv-Nm-M-S-Ps	fissi:	['fidti:']	Pf-Psv-Gn-M-S-Ps	G2			TRUE		
fi:do:	['feiðo:']	FIDO	Verb	3	1-S-Pr-Act-Ind	fi:dit	['feiðeti']	3-S-Pr-Act-Ind	G2					
fi:dus	['feiðos']	FIDUS	Adjective	2	Nm-M-S-Ps	fi:di:	['feiði:']	Gn-M-S-Ps	V3					
fi:go:	['feigʷo:']	FIGO	Verb	3	1-S-Pr-Act-Ind	fi:git	['feigʷeti']	3-S-Pr-Act-Ind	G2					
fictus	['figtos']	FIGO	Participle	2	Pf-Psv-Nm-M-S-Ps	ficti:	['figti:']	Pf-Psv-Gn-M-S-Ps	V3					
fi:lius	['feiljos']	FILIUS	Noun	2	Nm-M-S	fi:li:	['feilji:']	Gn-M-S	G2			TRUE		
fi:lum	['fi:slom' 'fi:lom']	FILUM	Noun	2	Nm-N-S	fi:li:	['fi:sli:' 'fi:li:']	Gn-N-S	G2					
fi:o:	['fwijo:']	FIO	Verb	3	1-S-Pr-Act-Ind	fit	['fwijeti']	3-S-Pr-Act-Ind	G2					
flagra:ns	['fla:gra:nts']								V3		TRUE		I believe we are leaving out the -ns participles.	
fi:nio:	['fi:nijo:']	FINIO	Verb	4	1-S-Pr-Act-Ind	fi:nit	['fi:nijeti']	3-S-Pr-Act-Ind	V3			TRUE		
fi:nis	['fi:nis']	FINIS	Noun	3	Nm-M/F-S	fi:nis	['fi:nes']	Gn-M/F-S	G3					
flagrum	['flagrom']	FLAGRUM	Noun	2	Nm-N-S	flagri:	['flagri:']	Gn-N-S	G2			TRUE		
flagro:	['flagra:jo:']	FLAGRO	Verb	1	1-S-Pr-Act-Ind	flagrat	['flagra:jeti']	3-S-Pr-Act-Ind	V3					
flamma	['flagma:']	FLAMMA	Noun	1	Nm-F-S	flammae	['flagma:i:']	Gn-F-S	G1					
fla:men	['fla:gsmen']	FLAMEN	Noun	3	Nm-M-S	fla:minis	['fla:gsmenes']	Gn-M-S	G3					
fla:vus	['fla:wos']	FLAVUS	Adjective	2	Nm-M-S-Ps	fla:vi:	['fla:wi:']	Gn-M-S-Ps	G2					
flecto:	['flekto:']	FLECTO	Verb	3	1-S-Pr-Act-Ind	flectit	['flekteti']	3-S-Pr-Act-Ind	V3					
fleo:	['fle:jo:']	FLEO	Verb	2	1-S-Pr-Act-Ind	flet	['fle:jeti']	3-S-Pr-Act-Ind	V3					
fli:go:	['fleigo:']	FLIGO	Verb	3	1-S-Pr-Act-Ind	fli:git	['fleigeti']	3-S-Pr-Act-Ind	V3					
flo:	['fla:jo:']	FLO	Verb	1	1-S-Pr-Act-Ind	flat	['fla:jeti']	3-S-Pr-Act-Ind	V3					
flo:s	['flo:s']	FLOS	Noun	3	Nm-M-S	flo:ris	['flo:ses']	Gn-M-S	G3					
fluo:	['flowo:']	FLUO	Verb	3	1-S-Pr-Act-Ind	fluit	['floweti']	3-S-Pr-Act-Ind	V3					
foedus	['foiðos']	FOEDUS	Noun	3	Nm-N-S	foederis	['foiðeres']	Gn-N-S	G3					
for	['fa:o:r']	FOR	Verb	1	1-S-Pr-Dep-Ind	fa:tur	['fa:tor']	3-S-Pr-Dep-Ind	V3					
fora:s	['fwora:s']	FORAS	Adverb		Ps								fora:s is a lexicalized accusative. We reconstruct the inflected form. -Vns# in. accusative plurals seems to have become -V:s already in P. Ital.	
forceps	['formokaps']	FORCEPS	Noun	3	Nm-M-S	forcipis	['formokapes']	Gn-M-S	G3					
forfex	['forðofaks']	FORFEX	Noun	3	Nm-M/F-S	forficis	['forðofakes']	Gn-M/F-S	G3				We cut Wiktionary's *forðom. *forðom is only half of the compound.	
foria	['foria:']	FORIA	Noun	1	Nm-F-S	foriae	['foria:i:']	Gn-F-S	G1					
foris	['fworis']	FORIS	Noun	3	Nm-F-S	foris	['fwores']	Gn-F-S	G3				Some authorities assume singular foris is a back-formation from the plural.	
formi:ca	['mormi:ka:']	FORMICA	Noun	1	Nm-F-S	formi:cae	['mormi:ka:i:']	Gn-F-S	G1	PHONOLOGY			[Phonology] An unparalleled sound change m- m- > f- m-. Some say this is a taboo deformation.	
formus	['formos']	FORMUS	Adjective	2	Nm-M-S-Ps	formi:	['formi:']	Gn-M-S-Ps	G2					
forum	['fworom']	FORUM	Noun	2	Nm-N-S	fori:	['fwori:']	Gn-N-S	G2			TRUE		
fors	['fortis']	FORS	Noun	3	Nm-F-S	fortis	['fortes']	Gn-F-S	G3					
fortis	['forktis']	FORTIS	Adjective	3	Nm-M/F-S-Ps	fortis	['forktes']	Gn-M/F-S-Ps	G3					
foveo:	['foɣʷejo:']	FOVEO	Verb	2	1-S-Pr-Act-Ind	fovet	['foɣʷejeti']	3-S-Pr-Act-Ind	V3					
frace:s	['frake:s']	FRACES	Noun	3	Nm-F-P	fracum	['frako:m']	Gn-F-P	G3					
fragilis	['fragelis']	FRAGILIS	Adjective	3	Nm-M/F-S-Ps	fragilis	['frageles']	Gn-M/F-S-Ps	G3					
fraŋgo:	['frango:']	FRANGO	Verb	3	1-S-Pr-Act-Ind	fraŋgit	['frangeti']	3-S-Pr-Act-Ind	V3					
fraus	['frawids']	FRAUS	Noun	3	Nm-F-S	fraudis	['frawides']	Gn-F-S	G3			TRUE		
fraxinus	['fraksinos']	FRAXINUS	Noun	2	Nm-F-S	fraxini:	['fraksini:']	Gn-F-S	G2					
fra:gro:	['fra:gra:jo:']	FRAGRO	Verb	1	1-S-Pr-Act-Ind	fra:grat	['fra:gra:jeti']	3-S-Pr-Act-Ind	V3					
fra:gum	['fra:gom']	FRAGUM	Noun	2	Nm-N-S	fra:gi:	['fra:gi:']	Gn-N-S	G2					
fra:ter	['fra:te:r']	FRATER	Noun	3	Nm-M-S	fra:tris	['fra:tres']	Gn-M-S	G3					
fremo:	['fremo:']	FREMO	Verb	3	1-S-Pr-Act-Ind	fremit	['fremeti']	3-S-Pr-Act-Ind	V3					
frendo:	['χwrendo:']	FRENDO	Verb	3	1-S-Pr-Act-Ind	frendit	['χwrendeti']	3-S-Pr-Act-Ind	V3			TRUE		
freque:ns	['frekʷents']	FREQUENS	Adjective	3	Nm-M/F/N-S-Ps	freque:ntis	['frekʷentes']	Gn-M/F/N-S-Ps	G3					
fre:num	['fre:nom']	FRENUM	Noun	2	Nm-N-S	fre:ni:	['fre:ni:']	Gn-N-S	G2			TRUE		
fre:tus	['fre:tos']	FRETUS	Adjective	2	Nm-M-S-Ps	fre:ti:	['fre:ti:']	Gn-M-S-Ps	G2					
fri:gus	['sri:gos']	FRIGUS	Noun	3	Nm-N-S	fri:goris	['sri:gozes']	Gn-N-S	G3			TRUE		
frio:	['fri:a:jo:']	FRIO	Verb	1	1-S-Pr-Act-Ind	friat	['fri:a:jeti']	3-S-Pr-Act-Ind	V3			TRUE		
fro:ns	['fronts']	FRONS	Noun	3	Nm-F-S	fro:ntis	['frontes']	Gn-F-S	G3					
fruor	['fru:gjo:r']	FRUOR	Verb	3	1-S-Pr-Dep-Ind	fruitur	['fru:gjetor']	3-S-Pr-Act-Ind	V3					
frustum	['frustom']	FRUSTUM	Noun	2	Nm-N-S	frusti:	['frusti:']	Gn-N-S	G2					
fru:ctus	['fru:ktos']	FRUCTUS	Noun	4	Nm-M-S	fru:ctu:s	['fru:ktuos']	Gn-M-S	G4					
fru:men	['fru:gmen']	FRUMEN	Noun	3	Nm-N-S	fru:minis	['fru:gmenes']	Gn-N-S	G3					
fru:mentum	['fru:gmentom']	FRUMENTUM	Noun	2	Nm-N-S	fru:menti:	['fru:gmenti:']	Gn-N-S	G2					
fru:x	['fru:ks']	FRUX	Noun	3	Nm-F-S	fru:gis	['fru:ges']	Gn-F-S	G3					
fugio:	['fugjo:']	FUGIO	Verb	3	1-S-Pr-Act-Ind	fugit	['fugjeti:']	3-S-Pr-Act-Ind	V3					
fulcio:	['fulkjo:']	FULCIO	Verb	4	1-S-Pr-Act-Ind	fulcit	['fulkjeti']	3-S-Pr-Act-Ind	V3			TRUE	Siever's Law applies here.	
fu:cus	['foukos']	FUCUS	Noun	2	Nm-M-S	fu:ci:	['fouki:']	Gn-M-S	G2			TRUE	The etymology for this word is disputed.	
fui:	['fu:ai']	SUM	Verb	Special	1-S-Pf-Act-Ind	fuit	['fu:eit']	3-S-Pf-Act-Ind	V3				We cut ['fefuai']. As with do:, it's true that there was a reduplicated past (it shows up in Oscan), but they are not the direct precursors of the Latin form, which in this case seems to be an aorist. This is a case when the form is as it were 'pre-Latin' rather than genuinely Proto-Italic.	
fulcrum	['fulktlom']	FULCRUM	Noun	2	Nm-N-S	fulcri:	['fulktli:']	Gn-N-S	G2			TRUE		
fulgo:	['folgo:']	FULGO	Verb	3	1-S-Pr-Act-Ind	fulgit	['folgeti']	3-S-Pr-Act-Ind	V3			TRUE		
fulgur	['folgos']	FULGUR	Noun	3	Nm-N-S	fulguris	['folgozes']	Gn-N-S	G3					
fulmen	['folgamen']	FULMEN	Noun	3	Nm-N-S	fulminis	['folgamenes']	Gn-N-S	G3					
fulmentum	['fulkmentom']	FULMENTUM	Noun	2	Nm-N-S	fulmenti:	['fulkmenti:']	Gn-N-S	G2			TRUE		
fundo:	['χundo:']	FUNDO	Verb	3	1-S-Pr-Act-Ind	fundit	['χundeti']	3-S-Pr-Act-Ind	V3	PHONOLOGY			[Phonology] This is the only word where #gh- > #f- (maybe because of the following -u-).	
fundus	['fundos']	FUNDUS	Noun	2	Nm-M-S	fundi:	['fundi:']	Gn-M-S	G2				We cut Wiktionary's etyma *funðos and *funði:. Moreover, the -d- is from *-dh- but there is a question here of relative chronology. It may be that the development was *bhudh-no- > *bhud-no- > *bhundo-. Thus, we reconstruct with -nd-, not -nð-.	
furnus	['fornos']	FURNUS	Noun	2	Nm-M-S	furni:	['forni:']	Gn-M-S	G2					
fu:mus	['fu:mos']	FUMUS	Noun	2	Nm-M-S	fu:mi:	['fu:mi:']	Gn-M-S	G2					
fu:nebris	['fu:nesris']	FUNEBRIS	Adjective	3	Nm-M/F-S-Ps	fu:nebris	['fu:nesres']	Gn-M/F-S-Ps	G3			TRUE		
fu:nus	['fu:nos']	FUNUS	Noun	3	Nm-N-S	fu:neris	['fu:nezes']	Gn-N-S	G3					
fu:r	['fo:r']	FUR	Noun	3	Nm-M/F-S	fu:ris	['fo:res']	Gn-M/F-S	G3					
gallus	['galsos']	GALLUS	Noun	2	Nm-M-S	galli:	['galli:']	Gn-M-S	G2			TRUE	The etymology of this word is disputed.	
garrio:	['ga:rjo:']	GARRIO	Verb	4	1-S-Pr-Act-Ind	garrit	['garrjeti']	3-S-Pr-Act-Ind	V3	PHONOLOGY		TRUE	[Phonology] If *ga:r- is the correct reconstruction, then the verb has quantitative metathesis (that is, [V:]C become V[:C], the so-called 'littera rule').	
gaudeo:	['ga:wide:jo:']	GAUDEO	Verb	2	1-S-Pr-Act-Ind	gaudet	['ga:wide:jeti']	3-S-Pr-Act-Ind	V3					
gelus	['gelus']	GELUS	Noun	4	Nm-M-S	gelu:s	['geluos']	Gn-M-S	G4					
geminus	['jemanos']	GEMINUS	Adjective	2	Nm-M-S-Ps	gemini:	['jemani:']	Gn-M-S-Ps	G2	ASSOCIATION			[Association] #g- is apparently analogical from the *gen- family. This is not a phonological change, and so this item could be cut (or else reconstructed with initial *g- — but that is, in effect, to assume that the analogy was already in Italic).	
gemma	['gebma:']	GEMMA	Noun	1	Nm-F-S	gemmae	['gemma:i:']	Gn-F-S	G1			TRUE		
gemo:	['geno:']	GEMO	Verb	3	1-S-Pr-Act-Ind	gemit	['gemeti']	3-S-Pr-Act-Ind	V3	ASSOCIATION		TRUE	[Association] *geno should have stayed but may have changed by analogy to other words (fremo, tremo).	
gener	['genros']	GENER	Noun	3	Nm-M-S	generi:	['genri:']	Gn-M-S	G2	PHONOLOGY			[Phonology] The P. Ital. (probably) inherited an -m- (that is, the protoform was *gmro-, cf. Skt. ja:ma:tar-, also 'son-in-law.') -m- became -n- before –r-, followed by anaptyxis in the cluster.	
genimen	['genamen']										TRUE		This word is probably a late formation.	
geno:	['geno:']	GENO	Verb	3	1-S-Pr-Act-Ind	genit	['geneti']	3-S-Pr-Act-Ind	V3					
genus	['genos']	GENUS	Noun	3	Nm-N-S	generis	['genezes']	Gn-N-S	G3					
genu:	['genu:']	GENU	Noun	4	Nm-N-S	genu:s	['genuos']	Gn-N-S	G4				We cut Wiktionary's *genu. If you have Latin genu:, then the P. Ital. should also be genu: (an old dual); the long. nominative is securely attested in poetry, though the short form is regular. That might be because of iambic shortening.	
germen	['genmen']	GERMEN	Noun	3	Nm-N-S	germinis	['genmenes']	Gn-N-S	G3					
gero:	['gezo:']	GERO	Verb	3	1-S-Pr-Act-Ind	gerit	['gezeti']	3-S-Pr-Act-Ind	V3					
ge:ns	['gentis']	GENS	Noun	3	Nm-F-S	gentis	['gentes']	Gn-F-S	G3					
gibber	['gi:fris']	GIBBER	Noun	3	Nm-M-S	gibberis	['gi:fres']	Gn-M-S	G3	PHONOLOGY		TRUE	[Phonology] Littera rule.	
giŋno:	['gigno:']	GIGNO	Verb	3	1-S-Pr-Act-Ind	giŋnit	['gigneti']	3-S-Pr-Act-Ind	V3					
glaber	['ɣlaðros']	GLABER	Adjective	2	Nm-M-S-Ps	glabri:	['ɣlaðri:']	Gn-M-S-Ps	G2					
gla:ns	['gla:nts']	GLANS	Noun	3	Nm-F-S	gla:ndis	['gla:ndes']	Gn-F-S	G3				In the nominative singular, voicing assimilation has been applied.	
glomus	['glemos']	GLOMUS	Noun	3	Nm-N-S	glomeris	['glemozes']	Gn-N-S	V3					
glo:ria	['gno:ria']	GLORIA	Noun	1	Nm-F-S	glo:riae	['glo:ria:i']	Gn-F-S	G1	PHONOLOGY		TRUE	[Phonology] If the etymology is right, #gn-r- > #gl-r- is unparalleled. Gna:rus survives, but a **gla:rus might have been undone by analogy to igna:rus (where the cluster is not in initial position and in VOL the accent was different).	
glo:s	['glo:s']	GLOS	Noun	3	Nm-F-S	glo:ris	['glo:ses']	Gn-F-S	G3					
glu:bo:	['glu:βo']	GLUBO	Verb	3	1-S-Pr-Act-Ind	glu:bit	['glu:βeti']	3-S-Pr-Act-Ind	V3					
glu:ten	['gloiten']	GLUTEN	Noun	3	Nm-N-S	glu:tinis	['gloitenes']	Gn-N-S	G3					
ŋna:rus	['gna:ros']	GNARUS	Adjective	2	Nm-M-S-Ps	ŋna:ri:	['gna:ri:']	Gn-M-S-Ps	G2					
ŋna:tus	['gna:tos']	NASCOR	Noun	2	Nm-M-S	ŋna:ti:	['gna:ti']	Gn-M-S	G2				gna:tus becomes na:tus in the historical period.	
gradior	['gradjo:r']	GRADIOR	Verb	3	1-S-Pr-Dep-Ind	graditur	['gradjeti']	3-S-Pr-Dep-Ind	V3					
gradus	['graðus']	GRADUS	Noun	4	Nm-M-S	gradu:s	['graðuos']	Gn-M-S	G3					
grando:	['gra:dno:']	GRANDO	Noun	3	Nm-F-S	grandinis	['gra:dnenes']	Gn-F-S	G3	PHONOLOGY		TRUE	[Phonology] The P. Ital. is difficult to reconstruct and these forms are uncertain. This word features the unda-rule (-dn- > -nd-)	
gravis	['grawus']	GRAVIS	Adjective	3	Nm-M/F-S-Ps	gravis	['grawos']	Gn-M/F-S-Ps	G3	MORPHOLOGY		TRUE	[Morphology] This adjective was originally a u-stem, preserved in Oscan, but was remodeled to an i-stem within Latino-Faliscan.	
grex	['gwreks']	GREX	Noun	3	Nm-M-S	gregis	['gwreges']	Gn-M-S	G3					
gra:men	['grasmen']	GRAMEN	Noun	3	Nm-N-S	gra:minis	['grasmenes']	Gn-N-S	G3					
gra:num	['gra:nom']	GRANUM	Noun	2	Nm-N-S	gra:ni:	['gra:ni:']	Gn-N-S	G2					
gra:te:s	['gra:tejes']	GRATES	Noun	3	Nm-F-P	gra:tium	['gra:tjo:m']	Gn-F-P	G3				Grates is pluralia tantum, so the plural is reconstructed.	
gra:tus	['gʷra:tos']	GRATUS	Adjective	2	Nm-M-S-Ps	gra:ti:	['gʷra:ti:']	Gn-M-S-Ps	G2					
grunda	['ɣronda:']	GRUNDA	Noun	1	Nm-F-S	grundae	['ɣronda:i:']	Gn-F-S	G1					
gruo:	['ɣruwo:']	GRUO	Verb	3	1-S-Pr-Act-Ind	gruit	['ɣruweti']	3-S-Pr-Act-Ind	V3			TRUE	This base attested only in compounds.	
gru:s	['gru:s']	GRUS	Noun	3	Nm-M/F-S	gruis	['gru:es']	Gn-M/F-S	G3					
gumia	['gomija']	GUMIA	Noun	1	Nm-M-S	gumiae	['gomija:i:']	Gn-M-S	G1	BORROWING		TRUE	[Borrowing] Possible borrowing from Umbrian.	
gurdus	['gʷordos']	GURDUS	Noun	2	Nm-M-S	gurdi:	['gʷordi:']	Gn-M-S	G1					
gustus	['gustus']	GUSTUS	Noun	4	Nm-M-S	gustu:s	['gustuos']	Gn-M-S	G4					
habeo:	['χabe:jo:' 'χaβe:jo:']	HABEO	Verb	2	1-S-Pr-Act-Ind	habet	['χabe:jeti' 'χaβe:jeti']	3-S-Pr-Act-Ind	V3					
haedus	['χaidos']	HAEDUS	Noun	2	Nm-M-S	haedi:	['χaidi:']	Gn-M-S	G2					
haereo:	['χaize:jo:']	HAEREO	Verb	2	1-S-Pr-Act-Ind	haeret	['χaize:jeti']	3-S-Pr-Act-Ind	V3					
harundo	['χarundo:']	HARUNDO	Noun	3	Nm-F-S	harundinis	['χarundenes']	Gn-F-S	G3			TRUE		
haruspex	['χaruspeks']	HARUSPEX	Noun	3	Nm-M-S	haruspicis	['χaruspekes']	Gn-M-S	G3					
hasta	['χasta:']	HASTA	Noun	1	Nm-F-S	hastae	['χasta:i:']	Gn-F-S	G1			TRUE		
haurio:	['auzjo:']	HAURIO	Verb	4	1-S-Pr-Act-Ind	haurit	['auzjeti']	3-S-Pr-Act-Ind	V3	PHONOLOGY			[Phonology] *h- is probably a hypercorrection. Derivatives in the other languages suggest there was no consonant at word head.	
ha:lo:	['anasla:jo:']	HALO	Verb	1	1-S-Pr-Act-Ind	ha:lat	['anasla:jeti']	3-S-Pr-Act-Ind	V3	PHONOLOGY		TRUE	[Phonology] *h- is probably a hypercorrection. Derivatives in the other languages suggest there was no consonant at word head.	
hedera	['χedra:']	HEDERA	Noun	1	Nm-F-S	hederae	['χedera:i:']	Gn-F-S				TRUE		
helvus	['χeliwos']	HELVUS	Adjective	2	Nm-M-S-Ps	helvi:	['χeliwi:']	Gn-M-S-Ps	G2					
hemo:	['hemo:']					hominis	['hemones']		G3	PHONOLOGY	TRUE		[Phonology] hemo: is the probable archaic Latin form, but the e gets rounded to homo:, apparently by sound law. Generally, the list does not reconstruct multiple Latin stages. (That is, the list also has the later form homo: as a separate lemma).	
here	['hezi:']	HERI	Adverb		Ps									
heri:	['hezi']	HERI	Adverb		Ps								The -i: is probably analogical from locatives like domi:. But if that was an Italic-level development, then heri would be the product of iambic shortening.	
heri	['hezi']	HERI	Adverb		Ps									
he:re:s	['χe:re:ts']	HERES	Noun	3	Nm-M/F-S	he:re:dis	['χe:re:des']	Gn-M/F-S	G3			TRUE		
hic	['χeke' 'χek']	HIC	Pronoun	Special	Nm-M-S									
hio:	['χia:jo:']	HIO	Verb	1	1-S-Pr-Act-Ind	hiat	['χia:jeti']	3-S-Pr-Act-Ind	V3					
hir	['χezros']	HIR	Noun	Special	Nm-M-S								(1) No genitive is possible; this word is attested only in the nominative and accusative. (2) NB: Sometimes the P. Ital. is reconstructed as *hezor, which makes good sense from the point of view of Indo-European.	
hirtus	['χerktos']	HIRTUS	Adjective	2	Nm-M-S-Ps	hirti:	['χerkti:']	Gn-M-S-Ps	G2	PHONOLOGY		TRUE	[Phonology] The raising of e > i / _r is said to be dialectal.	
hi:bernus	['χeimrinos']	HIBERNUS	Adjective	2	Nm-M-S-Ps	hi:berni:	['χeimrini:']	Gn-M-S-Ps	G2					
holus	['χelos']	HOLUS	Noun	3	Nm-N-S	holeris	['χelos']	Gn-N-S	G3					
homo:	['χemo:']	HOMO	Noun	3	Nm-M-S	hominis	['χemones']	Gn-M-S	G3	PHONOLOGY			[Phonology] χem- > χom- is irregular, perhaps because of forms like attested hemo:nem, in which a labial precedes a back vowel (hence there is a possibility here of paradigm leveling).	
hordeum	['χorzdeom']	HORDEUM	Noun	2	Nm-N-S	hordei:	['χordei:']	Gn-N-S	G2					
horior	['χorjo:r']	HORIOR	Verb	3	1-S-Pr-Dep-Ind	horitur	['χorjeti']	3-S-Pr-Dep-Ind	V3				We cut Wiktionary's etymon *χeri. Wiktionary has the wrong pre-form; χeri is only a root, not the full inflected form. The Latin -or- represents the outcome of a vocalic r.	
ho:rnus	['χojo:rnos']	HORNUS	Adjective	2	Nm-M-S-Ps	ho:rni:	['χojo:rni:']	Gn-M-S-Ps	G2					
horreo:	['χorze:o:']	HORREO	Verb	2	1-S-Pr-Act-Ind	horret	['χorze:ti']	3-S-Pr-Act-Ind						
horror	['χorzo:s']	HORROR	Noun	3	Nm-M-S	horro:ris	['χorzo:ses']	Gn-M-S	G3					
hortus	['χortos']	HORTUS	Noun	2	Nm-M-S	horti:	['χorti:']	Gn-M-S	G2					
hospes	['χostipotis']	HOSPES	Noun	3	Nm-M/F-S								No genitive was reconstructed for this one because the declension was changed to a -t- stem within Latin.	
hospita:lis	['hostipotja:lis']										TRUE		This is probably a later formation and not P. Ital.	
hospita:lita:s	['hostipotja:lita:ts']										TRUE		This is probably a later formation and not P. Ital.	
hospita:tor	['hostipotja:to:r']										TRUE		This is probably a later formation and not P. Ital.	
hospitium	['χostipotjom']	HOSPITIUM	Noun	2	Nm-N-S	hospiti:	['χostipotji:']	Gn-N-S	G2					
hostis	['χostis']	HOSTIS	Noun	3	Nm-M/F-S	hostis	['χostes']	Gn-M/F-S	G3					
hosti:lis	['χostjelis']	HOSTILIS	Adjective	3	Nm-M/F-S-Ps	hosti:lis	['χostjeles']	Gn-M/F-S-Ps	G3					
hosti:lita:s	['hostjelita:ts']										TRUE		This is probably a later formation and not P. Ital.	
hostus	['χostos']	HOSTUS	Noun	2	Nm-M-S	hosti:	['χosti:']	Gn-M-S	G2					
humi:	['χomei']	HUMUS	Adverb		Ps									
humus	['χomos']	HUMUS	Noun	2	Nm-F-S	humi:	['χomi:']	Gn-F-S	G2					
iaceo:	['jake:o:']	IACEO	Verb	2	1-S-Pr-Act-Ind	iacet	['jake:eti']	3-S-Pr-Act-Ind	V3					
iacio:	['jakjo:']	IACIO	Verb	3	1-S-Pr-Act-Ind	iacit	['jakjeti:']	3-S-Pr-Act-Ind	V3					
iam	['ja:m']	IAM	Adverb		Ps									
ia:nus	['ja:nus']	IANUS	Noun	4	Nm-M-S	ia:nu:s	['ja:nwos']	Gn-M-S	G4					
ibi	['iðei' 'ifei']	IBI	Adverb		Ps								This version is due to iambic shortening.	
ibi:	['iðei' 'ifei']	IBI	Adverb		Ps									
iecur	['jekʷor']	IECUR	Noun	3	Nm-N-S								We skip a genitive here; possible genitive forms are many, being the wreckage of an old r/n stem with remodeling. It is ard to tell what P. Ital. had.	
ieiento:	['jagjenta:jo:']	IEIENTO	Verb	1	1-S-Pr-Act-Ind	ieientat	['jagjenta:jeti']	3-S-Pr-Act-Ind	V3	PHONOLOGY			[Phonology] The word also occurs in the form ia-; ie- looks like quasi-vowel harmony to the following -ient-, which spread to ieiu:nus.	
ieiu:nus	['jagju:nos']	IEIUNUS	Adjective	2	Nm-M-S-Ps	ieiu:ni:	['jagju:ni:']	Gn-M-S-Ps	G2					
ie:ns	['jents']	EO	Participle	3	Pr-Act-Nm-M/F/N-S-Ps	euntis	['ejontes']	Pr-Act-Gn-M/F/N-S-Ps	G3					
iŋna:rus	['engna:ros']	IGNARUS	Adjective	2	Nm-M-S-Ps	iŋna:ri:	['engna:ri:']	Gn-M-S-Ps	G2					
iŋno:ro:	['engno:sa:jo']	IGNORO	Verb	1	1-S-Pr-Act-Ind	iŋno:rat	['engno:sa:jeti']	3-S-Pr-Act-Ind	V3			TRUE		
iŋnis	['engʷnis']	IGNIS	Noun	3	Nm-M-S	iŋnis	['engʷnes']	Gn-M-S	G3					
illo:c	['olloike' 'elloike']	ILLUC	Adverb		Ps					PHONOLOGY			[Phonology] The i- instead of o- is usually ascribed to analogy with iste, where the i belongs, but it could also be from a clitic (and thus un- or weakly stressed) form.	
illu:c	['olloike' 'elloike']	ILLUC	Adverb		Ps					PHONOLOGY			[Phonology] The i- instead of o- is usually ascribed to analogy with iste, where the i belongs, but it could also be from a clitic (and thus un- or weakly stressed) form.	
illu:stris	['inlowkstris']	ILLUSTRIS	Adjective	3	Nm-M/F-S-Ps	illu:stris	['inlowkstres']	Gn-M/F-S-Ps	G3			TRUE		
